key,n_trades,cagr,sharpe,sortino,calmar,max_dd,alpha_ann,outperf_ann,fold
P11_00_baseline@train,581,11.890652401398505,0.5033308462086956,0.6537069172495489,0.3687410175033507,32.24662252631132,5.79299849708316,3.3586535555479857,train
P11_10_strict@train,485,6.346050392003355,0.27046580402437237,0.35426332929112864,0.17020780384331605,37.28413297574288,1.3197792101738202,-2.185948453847164,train
P11_20_smart_3pct@train,531,9.932756676525223,0.43049071461080607,0.5258900360132952,0.29439376577389353,33.73969774942173,4.667445422790341,1.4007578306747037,train
P11_21_smart_5pct@train,546,11.552293477048536,0.5046398372164355,0.6183389319107239,0.3598847049998293,32.09998456881911,5.832413611555321,3.020294631198017,train
P11_22_smart_3pct_anyslope@train,524,8.287753225332528,0.3622509357147277,0.45817948117214224,0.2303464398612706,35.97951516126729,3.118343595268408,-0.24424562051799104,train
P11_00_baseline@test,676,13.38374976316532,0.4728876999045535,0.6598097659541847,0.23766790319103884,56.31281962548971,3.0770713602264257,-1.2177222774912622,test
P11_10_strict@test,370,9.719088320864167,0.413378496614301,0.54054257873801,0.21304957798759305,45.618904353944124,0.5277324852418542,-4.882383719792416,test
P11_20_smart_3pct@test,536,2.7866955834759732,0.1000260833892979,0.12998567294070063,0.0536245505665554,51.96678674289872,-6.202749125366186,-11.81477645718061,test
P11_21_smart_5pct@test,576,6.241537188021895,0.248955242808648,0.3096628954380247,0.1107465598070605,56.35874557995953,-3.465379484565308,-8.359934852634687,test
P11_22_smart_3pct_anyslope@test,481,6.436251882188548,0.2587303494291056,0.3343986134326059,0.12895746299658342,49.909882938369144,-2.7480467286403742,-8.165220158468035,test
