feature,gain,split
log_market_cap_sn,48.27642375230789,21
asset_turnover_sn,41.01508015394211,37
mom_1m_sn,32.443631052970886,26
vol_60_sn,29.7240070104599,28
consistency_12m_sn,28.74548202753067,28
dd_252_sn,26.662287175655365,23
mom_3m_sn,26.321833908557892,23
rev_5d_sn,25.585305213928223,24
liab_to_assets_sn,24.78518009185791,23
tangibility_sn,23.825076937675476,21
cash_ratio_sn,23.53837215900421,25
pb_sn,23.158666133880615,23
mom_6m_sn,21.008978009223938,19
px_to_sma50_sn,20.503741025924683,19
debt_to_equity_sn,19.891400933265686,20
mohanram_g_sn,19.82429587841034,19
pe_sn,18.118071913719177,19
macd_hist_sn,18.0708509683609,18
op_margin_sn,17.62010496854782,18
px_to_sma200_sn,17.45166301727295,15
ps_sn,17.349554002285004,17
net_margin_sn,17.269048988819122,16
piotroski_f_sn,16.98447871208191,17
earnings_yield_sn,16.575498938560486,17
roe_ttm_sn,16.35521411895752,17
gross_margin_sn,15.986515939235687,15
beneish_m_sn,15.72451102733612,17
mom_12m_sn,15.182612001895905,15
roa_ttm_sn,14.441852271556854,13
sma50_to_sma200_sn,13.889673292636871,13
ocf_to_assets_sn,13.582943975925446,13
current_ratio_sn,13.026101052761078,13
fcf_to_assets_sn,12.996247947216034,12
chande_14_sn,12.195955038070679,11
fcf_yield_sn,11.235230088233948,11
rnd_proxy_sn,11.01704603433609,12
rsi_14_sn,10.985462069511414,11
mom_12_1_sn,10.67042601108551,11
leverage_sn,10.109174013137817,10
ev_to_revenue_sn,8.971392154693604,9
value_composite_sn,8.659263014793396,9
vol_20_sn,7.452955007553101,7
asness_quality_sn,6.815865933895111,7
revenue_growth_yoy_sn,1.1628700494766235,1
earnings_growth_yoy_sn,1.117609977722168,1
dividend_to_fcf_sn,0.0,0
sales_to_assets_sn,0.0,0
